22.18,1.1767,1.1167,0.4567,0.3533,38.81,31.64,0.72,0.7633,61.19,68.36,0.3667,31.16
23.31,1.13,1.1733,0.43,0.3467,38.05,29.55,0.7,0.8267,61.95,70.45,0.3533,31.27
24.3867,1.0767,1.1333,0.3933,0.4,36.53,35.29,0.6833,0.7333,63.47,64.71,0.2833,26.32
25.4767,1.09,1.0867,0.3967,0.3933,36.39,36.2,0.6933,0.6933,63.61,63.8,0.3,27.52
26.58,1.1033,1.0967,0.3933,0.3833,35.65,34.95,0.71,0.7133,64.35,65.05,0.3267,29.61
27.6567,1.0767,1.1,0.3833,0.39,35.6,35.45,0.6933,0.71,64.4,64.55,0.3033,28.17
28.7533,1.0967,1.07,0.3867,0.33,35.26,30.84,0.71,0.74,64.74,69.16,0.38,34.65
29.8333,1.08,1.09,0.3767,0.3833,34.88,35.17,0.7033,0.7067,65.12,64.83,0.32,29.63
31.0333,1.2,1.1267,0.4267,0.36,35.56,31.95,0.7733,0.7667,64.44,68.05,0.4133,34.44
32.19,1.1567,1.1633,0.4167,0.3533,36.02,30.37,0.74,0.81,63.98,69.63,0.3867,33.43
33.3467,1.1567,1.1733,0.42,0.3867,36.31,32.95,0.7367,0.7867,63.69,67.05,0.35,30.26
34.4233,1.0767,1.1333,0.3967,0.3833,36.84,33.82,0.68,0.75,63.16,66.18,0.2967,27.55
35.51,1.0867,1.0567,0.41,0.34,37.73,32.18,0.6767,0.7167,62.27,67.82,0.3367,30.98
36.6367,1.1267,1.11,0.4067,0.3433,36.09,30.93,0.72,0.7667,63.91,69.07,0.3767,33.43
37.7433,1.1067,1.1267,0.39,0.3733,35.24,33.14,0.7167,0.7533,64.76,66.86,0.3433,31.02
38.8967,1.1533,1.15,0.4067,0.4033,35.26,35.07,0.7467,0.7467,64.74,64.93,0.3433,29.77
40.0767,1.18,1.16,0.4333,0.3767,36.72,32.47,0.7467,0.7833,63.28,67.53,0.37,31.36
41.1767,1.1,1.1367,0.3967,0.3533,36.06,31.09,0.7033,0.7833,63.94,68.91,0.35,31.82
42.2533,1.0767,1.0833,0.3667,0.3767,34.06,34.77,0.71,0.7067,65.94,65.23,0.3333,30.96
43.41,1.1567,1.1167,0.4033,0.35,34.87,31.34,0.7533,0.7667,65.13,68.66,0.4033,34.87
44.5,1.09,1.1033,0.3967,0.3267,36.39,29.61,0.6933,0.7767,63.61,70.39,0.3667,33.64
45.5667,1.0667,1.09,0.3833,0.3433,35.94,31.5,0.6833,0.7467,64.06,68.5,0.34,31.88
46.7167,1.15,1.11,0.41,0.3867,35.65,34.83,0.74,0.7233,64.35,65.17,0.3533,30.72
47.8633,1.1467,1.1233,0.4367,0.37,38.08,32.94,0.71,0.7533,61.92,67.06,0.34,29.65
49.0367,1.1733,1.1833,0.43,0.3833,36.65,32.39,0.7433,0.8,63.35,67.61,0.36,30.68
50.18,1.1433,1.13,0.41,0.3533,35.86,31.27,0.7333,0.7767,64.14,68.73,0.38,33.24
51.3667,1.1867,1.1467,0.4533,0.3733,38.2,32.56,0.7333,0.7733,61.8,67.44,0.36,30.34
52.5367,1.17,1.2167,0.4033,0.35,34.47,28.77,0.7667,0.8667,65.53,71.23,0.4167,35.61
53.68,1.1433,1.1633,0.3467,0.3733,30.32,32.09,0.7967,0.79,69.68,67.91,0.4233,37.03
54.8167,1.1367,1.1467,0.3867,0.3733,34.02,32.56,0.75,0.7733,65.98,67.44,0.3767,33.14
55.88,1.0633,1.13,0.3467,0.37,32.6,32.74,0.7167,0.76,67.4,67.26,0.3467,32.6
56.99,1.11,1.03,0.4167,0.3433,37.54,33.33,0.6933,0.6867,62.46,66.67,0.35,31.53
58.0833,1.0933,1.1433,0.3667,0.3567,33.54,31.2,0.7267,0.7867,66.46,68.8,0.37,33.84
59.1567,1.0733,1.07,0.4,0.38,37.27,35.51,0.6733,0.69,62.73,64.49,0.2933,27.33
60.26,1.1033,1.0633,0.41,0.36,37.16,33.86,0.6933,0.7033,62.84,66.14,0.3333,30.21
61.3667,1.1067,1.11,0.41,0.34,37.05,30.63,0.6967,0.77,62.95,69.37,0.3567,32.23
62.4367,1.07,1.0767,0.3967,0.3233,37.07,30.03,0.6733,0.7533,62.93,69.97,0.35,32.71
63.5033,1.0667,1.0667,0.3933,0.34,36.88,31.88,0.6733,0.7267,63.12,68.12,0.3333,31.25
64.62,1.1167,1.11,0.4,0.3567,35.82,32.13,0.7167,0.7533,64.18,67.87,0.36,32.24
65.7433,1.1233,1.1033,0.4167,0.3467,37.09,31.42,0.7067,0.7567,62.91,68.58,0.36,32.05
66.8667,1.1233,1.1033,0.4367,0.31,38.87,28.1,0.6867,0.7933,61.13,71.9,0.3767,33.53
67.95,1.0833,1.1667,0.37,0.36,34.15,30.86,0.7133,0.8067,65.85,69.14,0.3533,32.62
69.06,1.11,1.1033,0.38,0.4,34.23,36.25,0.73,0.7033,65.77,63.75,0.33,29.73
70.24,1.18,1.16,0.4,0.4233,33.9,36.49,0.78,0.7367,66.1,63.51,0.3567,30.23
71.37,1.13,1.11,0.41,0.38,36.28,34.23,0.72,0.73,63.72,65.77,0.34,30.09
72.4833,1.1133,1.13,0.3833,0.3533,34.43,31.27,0.73,0.7767,65.57,68.73,0.3767,33.83
73.65,1.1667,1.1333,0.4267,0.3833,36.57,33.82,0.74,0.75,63.43,66.18,0.3567,30.57
74.7833,1.1333,1.1633,0.39,0.3467,34.41,29.8,0.7433,0.8167,65.59,70.2,0.3967,35
75.9033,1.12,1.1067,0.3767,0.3167,33.63,28.61,0.7433,0.79,66.37,71.39,0.4267,38.1
77.03,1.1267,1.14,0.4233,0.3567,37.57,31.29,0.7033,0.7833,62.43,68.71,0.3467,30.77
78.1367,1.1067,1.1,0.41,0.34,37.05,30.91,0.6967,0.76,62.95,69.09,0.3567,32.23
79.25,1.1133,1.1133,0.4,0.3433,35.93,30.84,0.7133,0.77,64.07,69.16,0.37,33.23
80.3967,1.1467,1.1333,0.4133,0.3633,36.05,32.06,0.7333,0.77,63.95,67.94,0.37,32.27
81.5233,1.1267,1.1367,0.4,0.3733,35.5,32.84,0.7267,0.7633,64.5,67.16,0.3533,31.36
82.61,1.0867,1.1167,0.3833,0.36,35.28,32.24,0.7033,0.7567,64.72,67.76,0.3433,31.6
83.7233,1.1133,1.1233,0.38,0.35,34.13,31.16,0.7333,0.7733,65.87,68.84,0.3833,34.43
84.85,1.1267,1.1133,0.3967,0.3867,35.21,34.73,0.73,0.7267,64.79,65.27,0.3433,30.47
86.0967,1.2467,1.17,0.4367,0.3867,35.03,33.05,0.81,0.7833,64.97,66.95,0.4233,33.96
87.2567,1.16,1.19,0.38,0.37,32.76,31.09,0.78,0.82,67.24,68.91,0.41,35.34
88.3967,1.14,1.1933,0.3733,0.37,32.75,31.01,0.7667,0.8233,67.25,68.99,0.3967,34.8
89.5467,1.15,1.1233,0.39,0.3933,33.91,35.01,0.76,0.73,66.09,64.99,0.3667,31.88
90.75,1.2033,1.13,0.47,0.37,39.06,32.74,0.7333,0.76,60.94,67.26,0.3633,30.19
91.9167,1.1667,1.2133,0.3933,0.3267,33.71,26.92,0.7733,0.8867,66.29,73.08,0.4467,38.29
93.14,1.2233,1.2167,0.41,0.3833,33.51,31.51,0.8133,0.8333,66.49,68.49,0.43,35.15
94.5233,1.3833,1.2433,0.5367,0.43,38.8,34.58,0.8467,0.8133,61.2,65.42,0.4167,30.12
95.8333,1.31,1.43,0.2933,0.29,22.39,20.28,1.0167,1.14,77.61,79.72,0.7267,55.47
97.0567,1.2233,1.2667,0.37,0.3133,30.25,24.74,0.8533,0.9533,69.75,75.26,0.54,44.14
98.2767,1.22,1.2033,0.41,0.4133,33.61,34.35,0.81,0.79,66.39,65.65,0.3967,32.51
99.4,1.1233,1.2,0.36,0.41,32.05,34.17,0.7633,0.79,67.95,65.83,0.3533,31.45
100.5633,1.1633,1.1167,0.42,0.3933,36.1,35.22,0.7433,0.7233,63.9,64.78,0.35,30.09
101.7133,1.15,1.1233,0.4133,0.3433,35.94,30.56,0.7367,0.78,64.06,69.44,0.3933,34.2
102.8,1.0867,1.1367,0.3633,0.36,33.44,31.67,0.7233,0.7767,66.56,68.33,0.3633,33.44
103.9433,1.1433,1.1467,0.3733,0.3467,32.65,30.23,0.77,0.8,67.35,69.77,0.4233,37.03
105.1067,1.1633,1.1,0.4333,0.3667,37.25,33.33,0.73,0.7333,62.75,66.67,0.3633,31.23
106.1767,1.07,1.1367,0.4,0.3733,37.38,32.84,0.67,0.7633,62.62,67.16,0.2967,27.73
107.2433,1.0667,1.06,0.3767,0.35,35.31,33.02,0.69,0.71,64.69,66.98,0.34,31.88
108.3633,1.12,1.11,0.4033,0.3433,36.01,30.93,0.7167,0.7667,63.99,69.07,0.3733,33.33
109.4933,1.13,1.1233,0.41,0.35,36.28,31.16,0.72,0.7733,63.72,68.84,0.37,32.74
110.6,1.1067,1.1,0.4067,0.3833,36.75,34.85,0.7,0.7167,63.25,65.15,0.3167,28.61
111.7433,1.1433,1.1367,0.4133,0.3567,36.15,31.38,0.73,0.78,63.85,68.62,0.3733,32.65
112.8567,1.1133,1.1433,0.38,0.3733,34.13,32.65,0.7333,0.77,65.87,67.35,0.36,32.34
114.0033,1.1467,1.12,0.3933,0.3467,34.3,30.95,0.7533,0.7733,65.7,69.05,0.4067,35.47
115.16,1.1567,1.1633,0.4,0.3733,34.58,32.09,0.7567,0.79,65.42,67.91,0.3833,33.14
116.25,1.09,1.1133,0.3667,0.34,33.64,30.54,0.7233,0.7733,66.36,69.46,0.3833,35.17
117.4233,1.1733,1.16,0.3933,0.3733,33.52,32.18,0.78,0.7867,66.48,67.82,0.4067,34.66
118.58,1.1567,1.11,0.42,0.3633,36.31,32.73,0.7367,0.7467,63.69,67.27,0.3733,32.28
119.7167,1.1367,1.21,0.3767,0.38,33.14,31.4,0.76,0.83,66.86,68.6,0.38,33.43
